id,name
__export__.plan_contratacion_idu_plan_tipo_proceso_seleccion_item_1,Licitación Pública
__export__.plan_contratacion_idu_plan_tipo_proceso_seleccion_item_2,Concurso de Méritos
__export__.plan_contratacion_idu_plan_tipo_proceso_seleccion_item_4,Selección Abreviada Subasta Inversa
__export__.plan_contratacion_idu_plan_tipo_proceso_seleccion_item_5,Selección Abreviada Menor Cuantía
__export__.plan_contratacion_idu_plan_tipo_proceso_seleccion_item_6,Mínima Cuantía
__export__.plan_contratacion_idu_plan_tipo_proceso_seleccion_item_7,Contratación Directa
